EventName,Text,Label
Missed Shot by Cedi OsmanRebound by Tristan Thompson,"Two nights ago in San Antonio, Osmonds floater doesn't go Thompson with the offensive rebound.",1.0
Missed Shot by Bryn ForbesRebound by Willie Cauley-Stein,Cunningham swings it forms chased off the line floater for Brent.,1.0
Replay - Manual,"Well, this is a pick and roll.",1.0
2-pts Made by Timothe Luwawu-CabarrotAssist by Dario Saric,"Well, if you're not going to send the double team and he gives it that deep, there really isn't much you can do about it so long and creative, easy finish thanks.",0.0
2-pointer by Jalen Brunson,"Pick and roll involving Brunson, Kleber, Brunson in the paint looking for the first basket of the game and there it is looks like a vet man.",1.0
Missed Shot by Joe HarrisBlock by Brook LopezRebound by Jarrett Allen,Look and book settle for that fadeaway jump shot.,0.0
Jump Ball by Daniel Theis,Nice up there and try to get the tip instead.,0.0
2-pointer by Jeff TeagueAssist by Karl-Anthony Towns,Carl attack that front foot in Nice give and go right there.,1.0
Missed Shot by Mike ConleyRebound by Jerami Grant,Here's Connolly into the pain and missing the floater.,1.0
FT-Made by Thon Maker,He was in flip flops.,0.0
Missed Shot by JR SmithRebound by Domantas Sabonis,Here comes called her on the high pick and roll rolling inside LeBron James year behind the back floater short.,1.0
Missed Shot by JR SmithRebound by Domantas Sabonis,Here comes called her on the high pick and roll rolling inside LeBron James year behind the back floater short.,1.0
2-pointer by Goran Dragic,It's tough little floater from the baseline over the top of that.,1.0
Missed Shot by Donovan MitchellRebound by Lonzo Ball,"Donovan, like the left hand, work behind the screen of Rudy Gobert, the high floater banked it off the glass, and the ball comes loose.",1.0
Missed Shot by Jrue HolidayRebound by Giannis Antetokounmpo,Drew holiday in the little floater.,1.0
Rebound by Giannis AntetokounmpoMissed Shot by Gary Clark,They double teaming quickly in the post.,1.0
Foul by Russell Westbrook,"Post up for Jokic, dump it into cragan he felt.",1.0
2-pointer by Trae Young,The first point to the game with a nice floater.,1.0
Missed Shot by De'Andre HunterRebound by Hassan Whiteside,Well you seem a double teams right now 'cause the Blazers have number.,1.0
Assist by James Harden3-pointer by Austin Rivers,Doubled Rivers Reborn Rivers defender came over to double team James Horton.,1.0
Missed Shot by Jonas ValanciunasRebound by Kyle Lowry,JV update drives 18 stays with the bank shot.,1.0
Dunk by Jonas Valanciunas,"What at this, and I think that went between the legs of Aten.",0.0
Missed Shot by Troy Brown Jr.Block by Chimezie MetuRebound by Lonnie Walker IV,And here comes Troy Brown Junior Goes Coast to Coast pizza but swatted away by MTSU.,1.0
Foul by Evan Fournier,Former slam dunk letter J are put on there with nice men blue.,0.0
Turnover by Elfrid Payton,"At home we played two of the first three at Home Alley Oop attempt Aaron Drummond, right, there, not a smart pass.",1.0
2-pointer by Naz Mitrou-Long,Looking for the pretty alley Oop Jazz will take it the other way.,0.0
2-pointer by Dakari Johnson,"But running the pick and rolls to perfection that last time to Curry Johnson might have gotten away with the travel, but he scores off glass.",0.0
3-pointer by Wade Baldwin IV,Will take the three little splash it money.,1.0
2-pointer by Anthony DavisAssist by Jrue HolidayFoul by Caris LeVert,The floater guides it home an one.,1.0
Missed Shot by Marcus MorrisRebound by Al HorfordMissed Shot by Marcus SmartRebound by Andre Drummond,This is the floater.,1.0
Dunk by John CollinsAssist by Trae Young,The alley oop.,1.0
Foul by LaMarcus AldridgeTurnover by LaMarcus Aldridge,"Necessary to throw that high type of floater, but he's just showing off his skills that's involved with Supreme confidence.",0.0
Missed Shot by Dwight PowellRebound by Derrick Jones Jr.,Are double team on Luka?,1.0
Jump Ball by Gorgui Dieng,"Remember all the games that Clint's done that just running the floor, forget about pick and roll game, and Harden, throwing lob dunks to him.",0.0
Missed Shot by Courtney LeeRebound by Nikola Jokic,Splendid Alley oop that time to pump.,0.0
Turnover by DaQuan JeffriesSteal by Coby White,Will post up against Kobe White.,1.0
Dunk by Josh JacksonAssist by Tyler Ulis,Chandler down the floor so he couldn't bother and got great post up position Jackson going baseline lob it goes high and Hammers at home.,0.0
2-pointer by P.J. WashingtonFoul by Taurean Prince,"Start with Cody Zeller, PJ Washington trying to post up Prince.",1.0
Rebound by Alex Len,post up the smaller Trae Young and Sweet Junior missing badly there.,1.0
2-pointer by Tomas SatoranskyAssist by Bradley Beal,Zatarain's key with the floater.,1.0
Missed Shot by Marcus MorrisBlock by Alec BurksRebound by Ante Zizic,"Glad you're bored here on Fox Sports Ohio as they go right away for a post up to Morse, triple team swatted away by Alec Burks.",1.0
Missed Shot by Anthony Davis2-pointer by JaVale McGeeRebound by JaVale McGee,That one is tipped in by McGee.,1.0
2-pointer by Hassan WhitesideAssist by CJ McCollum,"Oregon State's Gary Payton, defending lunar here's Whiteside runs into the Lane, takes it strong in the Cup to lay it in the pick and roll action right there.",0.0
Replay,Nobody wants to get on that poster.,0.0
Rebound by Zion Williamson,Could help by favors on the pick and roll Hardaway from deep.,1.0
Turnover by Russell Westbrook,He's tide up on a double team Good help defense and a travel.,1.0
2-pointer by Andre Drummond,Will wait for the double team and then I'll give it up.,1.0
2-pointer by Mike Conley,"The floater, the bounce, the bucket.",1.0
2-pointer by Jeff Green,"On the post up, Jeffrey Pretty Easy start coming.",1.0
Missed Shot by Kevin HuerterRebound by Nikola Vucevic,He puts up a little floater that's no good.,1.0
Missed Shot by Gary Payton IIBlock by Rudy GobertRebound by Bojan Bogdanovic,He's going against a lot of smaller guards so that post up games becoming important Hemi.,0.0
Missed Shot by Gary Payton IIBlock by Rudy GobertRebound by Bojan Bogdanovic,Nice dish underneath that ball swatted away baseball pass downfield.,0.0
Missed Shot by Clint CapelaRebound by Brook Lopez,"And finger roll short, therefore Capella.",1.0
Foul by Patrick Beverley,So already 2 forced turnovers from the Clipper defense and their setting pick and rolls with Porzingis.,0.0
2-pointer by LeBron JamesRebound by LeBron JamesMissed Shot by Jeff Green,"Green comes up short, James on the tip in 27 points for LeBron James.",1.0
3-pointer by Kyle Lowry,We've got flop Cam standing by as well as Kyle Lowry berries at three.,1.0
Turnover by Damian LillardSteal by Terrance Ferguson,Ana Steele and Ferguson comes here and finger rolls it up again.,1.0
Replay - Auto,I still got the sweet shot swish.,1.0
Missed Shot by Rodions KurucsRebound by Jordan McLaughlin,"Yeah, they want a little side pick and roll for who roots.",1.0
Missed Shot by DeMar DeRozanRebound by Jonas Valanciunas,Now you gotta see the double team areas and opportunities for those in there.,0.0
Missed Shot by Blake Griffin,Is Jackson looking along the post up here to Griffith?,1.0
3-pointer by Kevin DurantAssist by Stephen Curry,"Quickest turn around, this fires hurry the outlet pass through Durant.",1.0
Dunk by Miles BridgesAssist by Kemba Walker,"He can go up high, he's got the hops so he's one of those guys on the pick and roll.",0.0
Missed Shot by Trae YoungRebound by John Collins,"Play it, but it is tipped in by John Collins.",1.0
2-pts Made by Dwight HowardAssist by Michael Kidd-Gilchrist,Post up opportunity for it to white Howard Anna kills in and you seen a lot of that issue.,1.0
3-pointer by Bojan Bogdanovic,Splash is the 3 pointer.,1.0
FT-Missed by Mitchell Robinson,"As tears started to show, some promise as a roller to the hoop off pick and rolls, Shotblocker averaged just under 10 points per game.",0.0
Missed Shot by Luka DoncicRebound by Dorian Finney-Smith,Unable to connect on the floater.,1.0
2-pointer by Serge IbakaAssist by Danny Green,"Shooting in that game against New York, here's a blocker with a floater inside and he knocks it down.",1.0
Turnover by Jonas Valanciunas,I wasn't a double team so brands like I'm used to that.,0.0
Missed Shot by Daniel TheisRebound by Jayson Tatum,Little pick and roll game.,1.0
Assist by Joe Harris,You get an easy dunk poster.,0.0
2-pointer by Tobias HarrisViolation by Myles Turner,Posting up in the paint.,0.0
2-pointer by Eric BledsoeAssist by Giannis Antetokounmpo,"It could be a floater 30 foot 3 pointer, didn't score.",0.0
Rebound by Serge IbakaRebound by Serge IbakaMissed Shot by Kyle LowryBlock by Gordon Hayward2-pointer by Serge Ibaka,"Lowry coast to coast rejected inside, but a good follow by Ibaka.",1.0
Turnover by Julius Randle,"Again, Turner will be open, moving and grooving nicely at that time to get the finger roll.",1.0
2-pointer by Myles Turner,"Again, Turner will be open, moving and grooving nicely at that time to get the finger roll.",1.0
Missed Shot by DeMarcus CousinsMissed Shot by Marcin GortatRebound by Danilo Gallinari,I see there's a double team.,0.0
Missed Shot by DeMarcus CousinsMissed Shot by Marcin GortatRebound by Danilo Gallinari,No double team.,0.0
Missed Shot by Mike Conley,Steven Adams usually likes to get out and guard the pick and roll in attack and Blitz.,0.0
Missed Shot by Tobias HarrisRebound by Kristaps Porzingis,"No help, no double team.",0.0
Foul by Kyle Lowry,Posting up the smaller Lowry no get Lowry for the fouls.,1.0
Foul by Jarrett Allen,"Their percentage, low Giannis late getting into the action so Henson has to work through a double team and he draws a foul goddess got popped.",1.0
3-pointer by Tobias HarrisAssist by Josh Richardson,That's will certainly run their share of pick and rolls.,0.0
Dunk by P.J. Washington,"nothing but net of the bad variety PJ, every goal breaks the seal.",0.0
2-pointer by Dillon BrooksAssist by Jae Crowder,Did a good job against the Nets to knockdown floaters in the paint Dillon Brooks pump.,0.0
Missed Shot by JR SmithRebound by Jonas Valanciunas,Double team on James.,0.0
Turnover by Cole Anthony,Anthony Pick and roll with Vucevic.,1.0
Missed Shot by Robert Covington2-pointer by P.J. TuckerRebound by P.J. Tucker,Covington the floater.,1.0
2-pointer by Eric Bledsoe,Now the beautiful floater.,0.0
2-pointer by Terry Rozier,Rozier gets into the paint and he gets the rainbow teardrop.,1.0
2-pointer by Jonathan IsaacAssist by D.J. AugustinFoul by Eric Gordon,There's a floater Jonathan Isaac on the attack.,0.0
2-pointer by Zion Williamson,Here's ball floater.,1.0
Missed Shot by Josh RichardsonRebound by Josh Richardson,"Here's the cruder again, an undrafted player out of Kansas State and Richard Super Floater.",1.0
Rebound by Jonas ValanciunasMissed Shot by Donovan Mitchell,Utah is a big pick and roll team.,0.0
Replay - Auto Detection,No pick and roll action.,0.0
2-pointer by Steven Adams,Tough fadeaway that ones off well defended by Adams with good jobs is not letting into the paint.,1.0
Missed Shot by Aaron GordonBlock by DeAndre HunterRebound by Aaron Gordon2-pointer by Aaron Gordon,The floater being one of 'em I think young had 38 in the season opener.,0.0
2-pointer by Nikola Jokic,He'll take it to the rack.,1.0
2-pointer by Joel Embiid,Horford is is better really difficult match up in post up situations for Karl Anthony Towns.,0.0
Missed Shot by Jonas ValanciunasRebound by Shai Gilgeous-Alexander,Balance Unix under the pump fake.,1.0
Turnover by Dwayne Bacon,He takes it a post up.,1.0
Missed Shot by Malcolm BrogdonRebound by Malcolm Brogdon,Probably very good with those little floaters.,1.0
Missed Shot by Jamal MurrayRebound by Marcin Gortat,fadeaway no short shot.,1.0
Missed Shot by Carmelo Anthony,Melo taking it to the ram in the bank shot doesn't go Collins couldn't clean it up but does on the second chance.,1.0
3-pointer by George Hill,It's better to switch post up dance against pink.,0.0
Steal by Tony SnellTurnover by Jarrett Jack,Jack turns the corner looking for can or stolen away by Snell Outlet Pass.,0.0
3-pointer by Aron BaynesAssist by Ricky Rubio,Booker was very close to an up and down there as pain splashes into three.,1.0
2-pointer by Bryn Forbes,"Friend Forbes delivery that was an ice pick and roll, thereby Lamarcus Aldridge to free up forms.",1.0
Steal by Danny Green,Coast to coast and finishes with the left hand.,1.0
2-pointer by Hassan WhitesideAssist by Damian Lillard,Pick and roll Whiteside right down the middle of the Lane and nobody here and play it up in a great start from here yet.,1.0
Jump Ball by Steven Adams,The Thunder win the tip in here is Westbrook.,0.0
3-pointer by Wesley MatthewsAssist by Myles Turner,"In the second meeting, and Wesley Matthews splashes A3.",1.0
2-pts Made by Carmelo Anthony,Here's Carmelo Anthony inside on the post up.,1.0
Missed Shot by Jusuf NurkicRebound by Jusuf Nurkic2-pointer by Jusuf Nurkic,The other night Nurkic gets inside bank shot won't go the second attempt.,1.0
Missed Shot by Kemba WalkerRebound by Jayson Tatum,"Kemba Walker, again dealing with some knee discomfort that he's had throughout much of the season, misses his first jumper, but the ball tipped in Matthews in.",1.0
Missed Shot by Tyler JohnsonRebound by Dario Saric,Tyler Johnson with the floater is off the mark.,1.0
Foul by Jrue Holiday,Barton little pick and roll with Jokic.,1.0
Missed Shot by Kristaps PorzingisRebound by Jayson Tatum,Switch pick and rolls between KP and smart.,0.0
3-pts Made by Timothe Luwawu-CabarrotAssist by Robert Covington,A chance for Simmons post up the smaller Brooks.,1.0
2-pointer by CJ McCollum,CJ toying with Wiseman nothing but net.,1.0
Missed Shot by LaMarcus Aldridge,Rudy Gay double team swings too wide.,1.0
2-pointer by Nick PerkinsAssist by Zach Norvell Jr.,They have to quickly double team Perkins.,1.0
Missed Shot by Deandre Ayton,There they go to eat an early post upon homes.,1.0
Rebound by Richaun Holmes,There they go to eat an early post upon homes.,1.0
Block by Richaun Holmes,There they go to eat an early post upon homes.,1.0
2-pointer by Nikola Vucevic,No double team help from the Kings and which makes them pay router which always looking across that inside shoulder to see where the defense is coming from.,0.0
Missed Shot by Julius Randle,Double team.,1.0
Missed Shot by Bogdan BogdanovicRebound by Clint Capela,Just buy one tough fadeaway,1.0
Foul by Willie Cauley-Stein,Here's the fadeaways.,1.0
2-pointer by Reggie Jackson,"Andre screens for Reggie Jackson floater in the Lane, fills it up.",1.0
Assist by Coby White,"Middleton floater would not go at Williams who was defending Giannis again, that time with the rebound, got numbers White supporter for free.",1.0
Steal by Goran DragicTurnover by Emeka Okafor,Point shot is going to be looking to get into the paint post up so you gotta be able to be ready for all situations.,0.0
Jump Ball by Jusuf Nurkic,See if the Warriors were able to kind of rectify that tonight with some double teaming or creative defensive matchups.,0.0
Turnover by Marcin Gortat,fadeaway no short shot.,1.0
Missed Shot by Khris MiddletonRebound by Serge Ibaka,Post up opportunity.,1.0
Turnover by Giannis AntetokounmpoSteal by Nikola Vucevic,Hannah's double teams.,1.0
Foul by Donovan Mitchell,Here is Jokic little give and go inside to Millsap.,1.0
Missed Shot by Rudy GobertRebound by LaMarcus Aldridge,Joe puts a shoulder down pick and roll.,1.0
3-pointer by Damian Lillard,So here's that Lillard Nurkic kind of high pick and roll.,1.0
2-pointer by Nikola VucevicAssist by Markelle Fultz,Buccament with the floater.,1.0
Rebound by Bogdan Bogdanovic,floater is no good gets it back.,1.0
Dunk by Damian JonesAssist by Quinn Cook,Cook with the alley Oop and Jones with the throw down.,1.0
2-pointer by Steven Adams,Again trying to muscle his way up despite the double team.,1.0
Missed Shot by CJ McCollumRebound by Miles Bridges,Where he went coast to coast I kept.,0.0
Missed Shot by Mike Conley,Conley floater Valentinas taps the rebound but cannot keep it in place.,1.0
2-pointer by Wayne Selden,Selden with a tough looking floater.,1.0
2-pointer by Danilo Gallinari,Is Gallinari drives inside a series of pump fakes to get Miguel to Velma go up in the air and he's able to bank it in after a tough shooting night for him?,1.0
Missed Shot by Kris DunnRebound by Wendell Carter Jr.Dunk by Wendell Carter Jr.,Done a nice little floater in and out.,1.0
2-pointer by James Harden,"Orange splits a double team works his way to the rim, and somehow finagles delay up out of that.",1.0
Turnover by Pascal SiakamSteal by Patrick Beverley,Pascal jab step.,1.0
3-pointer by Damian Lillard,Nothing but net.,1.0
Missed Shot by Jayson TatumRebound by Jayson Tatum,Taking the floater in the Lane hits the backroom goes and gets his own miss.,1.0
Steal by Rodions KurucsTurnover by Nickeil Alexander-Walker,Go coast to coast and flush it in.,1.0
2-pointer by Luka Doncic,"Post up by Lukas right into the Lane, and hello, nothing like starting your game with an easy basket.",1.0
Foul by Tim Hardaway Jr.,Rage on college work the side pick and roll Tray gets into the paint at.,1.0
2-pointer by LeBron James,And it's nothing but net and it's 2 to nothing.,1.0
2-pointer by Wayne Ellington,Great outlet pass to wonderful Feed and LeBron in stride target easily is the former Laker when telling 10 tell you what 60 of these 60 two shots had been.,0.0
Missed Shot by Dennis Smith Jr.Rebound by D'Angelo Russell,Biggest challenge for him in the Smith Junior didn't get any rim that time on the little floater.,1.0
Missed Shot by Taurean PrinceRebound by Evan Fournier,Now Anderson has it pick and roll with Collins Swing and Swing to Prince.,1.0
Dunk by Clint CapelaAssist by PJ Tucker,"As a matter of fact, impellers tipped in the League now is 60 dumps.",0.0
2-pointer by James Wiseman,James Wiseman complete go drop coverage but then get all the way out there because of his length and really contest that well so wise men little post up early.,1.0
Turnover by Treveon Graham,Former Rookie of the Year there was that double team and then we end up having the out of bounds violation.,1.0
Rebound by DeMarcus Cousins,"So Cousins ends up going one for three at the foul line, little floater for Brogdon.",1.0
Missed Shot by Malcolm Brogdon,"So Cousins ends up going one for three at the foul line, little floater for Brogdon.",1.0
Missed Shot by Kemba Walker,No double team needed on that play.,0.0
Turnover by Jahlil Okafor,Oka 4 Double teamed immediately and he traveled.,1.0
Steal by Jimmy Butler,Art van guarded by Butler puts up a floater.,1.0
Rebound by Kevin Huerter,"At his best, that's when he can be super effective when you can pick and roll to the basket.",1.0
Rebound by Kevin Huerter,"At his best, that's when he can be super effective when you can pick and roll to the basket.",0.0
Missed Shot by Anthony Edwards,"At his best, that's when he can be super effective when you can pick and roll to the basket.",1.0
Missed Shot by Anthony Edwards,"At his best, that's when he can be super effective when you can pick and roll to the basket.",0.0
Missed Shot by Paul MillsapRebound by Rajon Rondo,"Here's a 2 on one Millsap, the alley oop missed the layup and the other thing Mark just over a week ago.",1.0
3-pointer by Rudy GayAssist by Bryn Forbes,Ego doll and they double team.,1.0
Missed Shot by Derrick RoseRebound by Jarrett Allen,"Outside for Derrick Rose little floater, from the Lane that won't fall.",1.0
Turnover by Mitchell Creek,Now he's double teamed and now he's in trouble.,1.0
Missed Shot by Malcolm BrogdonRebound by Khris Middleton,Here's the floater again by Brockton.,1.0
Missed Shot by Kyle Lowry,Lori left wing floater misses.,1.0
2-pointer by Caris LeVert,Pick and roll.,1.0
Missed Shot by Ivica ZubacBlock by Dennis Smith Jr.Rebound by Damyean Dotson,Course recently took fighter to second straight Slam Dunk contest coming in second.,0.0
2-pointer by Paul Millsap,"Transition defense would be very important and this is one of the reasons why, because they got five guys, all of them capable of taking it coast to coast.",1.0
2-pointer by Danny GreenAssist by Serge Ibaka,Danny Green Jays swish,1.0
2-pointer by Derrick White,"Thank you, Rudy, but then promises them both and they get the easy tip in to pull within two 9189 Spurs answer.",0.0
2-pointer by Rodney McGruder,Passes from Blake Griffin who draws a double team in the post.,0.0
Missed Shot by Joe Harris,"He can stretch you out, but also he is one of the best and being active around the glass and in the pick and roll.",0.0
Jump Ball by Nikola Jokic,And the tip in the backcourt to Derek White.,1.0
2-pointer by Bradley BealAssist by John Wall,Sad OK for a late double team.,0.0
Foul by Willie Cauley-Stein,"Yeah, what you gotta do if your memory is gotta try to work him out a little bit and then the double team has to come.",0.0
2-pts Made by Kristaps PorzingisAssist by Tim Hardaway Jr.,I did buy into the cool blow on a switch now Porzingis posting up turn around J fuel.,1.0
Foul by Tyrese Haliburton,He's a stretch for he can post up smaller players.,0.0
Replay - Auto,The floater.,1.0
2-pointer by Jrue Holiday,"Milwaukee's basketball first holiday, with a little floater from the Lane through holiday, fills it up.",1.0
Assist by Kyle O'Quinn,Out of a double team.,1.0
3-pointer by Kevin Durant,You get an easy dunk poster.,0.0
Missed Shot by Dragan BenderRebound by LeBron James,Flopping was back to his high school days in Louisiana.,0.0
Missed Shot by Ben Simmons,Simmons misses the finger roll.,1.0
2-pointer by Klay Thompson,Patients are at the pump fake of the flyby.,1.0
Missed Shot by Reggie JacksonRebound by Justin Holiday,His fadeaway gun won't go.,1.0
Dunk by Giannis AntetokounmpoAssist by Eric Bledsoe,Double team that time got it back for blood so this time.,1.0
Turnover by Jusuf Nurkic,Will it will bounce Modert double team went between defenders had it ripped and they say he walks to the basketball.,1.0
Replay - Auto Detection,There's double team paper tries to turn the corner.,1.0
3-pointer by Ky BowmanAssist by Eric Paschall,Little weird awkward floater so Bowman 41% on threes.,0.0
Missed Shot by Josh RichardsonRebound by Khris MiddletonFoul by Josh Richardson,Or is that low pick and roll?,1.0
Missed Shot by Jaylen Brown,He's written a check for the League office for flopping a couple of times.,0.0
Missed Shot by Derrick Favors,Is Derek with a hot floater cut the rim?,1.0
Dunk by Rashawn ThomasAssist by Daniel Hamilton,"Miscommunication on the turnover and Rashawn Thomas, but tried to go behind the back in the reverse dunk.",1.0
3-pointer by James JohnsonAssist by Josh Richardson,Now he's getting more post up basement.,0.0
Rebound by Frank MasonMissed Shot by Monte Morris,Now those floaters not falling.,1.0
Missed Shot by Jayson Tatum,"Again, to take it off to a quick start yesterday throwing up alley oop that doesn't workout is picked up.",0.0
Rebound by Mason Plumlee,"Again, to take it off to a quick start yesterday throwing up alley oop that doesn't workout is picked up.",0.0
Missed Shot by Myles TurnerRebound by LeBron James,With Chester Turner pump faking Mr. Doe Bentley is love.,1.0
Turnover by Jordan Bell,Mark the size the length theory is trying to get the alley oop pass.,1.0
3-pointer by Luka Doncic,Look at splash.,1.0
3-pointer by Zach LaVineAssist by Wendell Carter Jr.,"Shock like down to five Levine looking to create Ombre tomb shuffles to his right, fires three and splashes intends to be hot.",1.0
Missed Shot by Tristan ThompsonRebound by Dragan Bender,No double team help cover sets up the jump book.,0.0
2-pointer by Kentavious Caldwell-Pope,"One turnovers out of Houston, but you gotta convert off of it as K CP, nothing but net.",1.0
Turnover by Harrison BarnesSteal by Myles TurnerRebound by Aaron Holiday,Double team.,1.0
Turnover by Wendell Carter Jr.Steal by Reggie Bullock2-pointer by Reggie Bullock,There's a turnover block Coast to coast.,1.0
Dunk by Jerami GrantAssist by Russell Westbrook,Dennis had a 2 for two at the line in the first app button over to their top for the alley Oop.,1.0
Replay - Auto Detection,"There is that Birds Eye view of the pick and roll in the Sixers, defending it late rotation.",1.0
Turnover by Al HorfordSteal by Ricky RubioMissed Shot by Ricky RubioRebound by Rudy Gobert,"He'll take it to the rack for this delay up, but Ruby is there for the put back.",1.0
2-pointer by CJ McCollum,"Let's bear get that easy to CJ McCollum, the floater.",1.0
2-pointer by Malcolm Brogdon,"That was a teardrop jumper, but",0.0
Missed Shot by Nikola VucevicRebound by Nicolas Batum,No double team help.,0.0
Foul by Jayson Tatum,Horford looking to post up and they're gonna file.,1.0
2-pointer by Andrew WigginsAssist by Karl-Anthony Towns,How do you stop hard not to pick and roll as soon as someone shows me weather travel to go under.,0.0
Foul by Garrett Temple,"They double team play closer to four court nearly threw it away but didn't, and Luke Kennard is fouled.",1.0
3-pointer by Damyean DotsonAssist by Kevin Knox,Notch double team five on the shot Clock to double team by Tiegs.,1.0
3-pointer by Damyean DotsonAssist by Kevin Knox,Notch double team five on the shot Clock to double team by Tiegs.,1.0
Turnover by Kyle Lowry,Double teamed and Lowry turns it over and the Wizards get the ball.,1.0
2-pointer by D'Angelo Russell,"He thought he was gonna pass it, but good recognition there and knocked down a tough little floater.",0.0
2-pointer by Kelly Oubre Jr.,Get that soft left hand floater.,0.0
Missed Shot by Tomas SatoranskyRebound by Ben Simmons,Will pick and roll with Lowry.,1.0
2-pointer by Montrezl HarrellRebound by Montrezl HarrellBlock by Kemba WalkerMissed Shot by Montrezl Harrell,"Harold, trying to post up Marvin Kimble comes over to help out breaks it away.",1.0
2-pointer by Al-Farouq Aminu,By Looney there's a double team we talked about right away.,1.0
2-pointer by Al-Farouq Aminu,Couple pump fakes and then the finish.,0.0
Dunk by Thomas BryantAssist by Bradley Beal,Accepting the double teamed be coming more than leader.,0.0
FT-Made by Luka Doncic,Toronto Raptors saying he's guarding the pick and roll and the ref says no.,0.0
Rebound by Stephen CurryMissed Shot by Jeff Green,We got double team.,1.0
Missed Shot by Thaddeus Young,Mr Floater rebounded Brown.,1.0
2-pointer by Aron BaynesAssist by Kyrie Irving,Bans the roll man with a nice finger roll inside in Boston.,1.0
Replay 0.003-0.000,"And that's his first, the Knicks are all heavy post up team.",0.0
3-pointer by Justin HolidayAssist by Shelvin Mack,Little pump fake holiday corner three it's true at the expiration of the shot Clock.,1.0
Missed Shot by Spencer DinwiddieRebound by Reggie Bullock,Then what he misses on the floater?,1.0
Rebound by Carmelo AnthonyMissed Shot by Trey Burke,For Maps whip it around Burke to try floater on the baseline.,1.0
Foul by Jonas ValanciunasTurnover by Jonas Valanciunas,Kindly pick and roll valentinas attacks.,1.0
Dunk by Jonas ValanciunasAssist by DeMar DeRozan,Jonas Valance Eunice with a slam dunk.,1.0
3-pointer by Brook LopezAssist by Malcolm Brogdon,Would look at the angle on Atom 3 point swish Lopez.,1.0
Replay - Auto Detection,"On that play, you have a double team on Lamarcus Aldridge, an.",1.0
2-pointer by James Wiseman,Early post up for Wiggins.,1.0
Missed Shot by Glenn Robinson IIIMissed Shot by Glenn Robinson IIIRebound by Glenn Robinson IIIRebound by Andre Drummond2-pointer by Andre Drummond,Andre Drummond with the tip in.,1.0
Steal by Georges NiangTurnover by Frank Ntilikina,Here's Neil Aquino posting up.,1.0
Turnover by Zach LaVine,Port is trying to post up.,1.0
Missed Shot by Troy DanielsRebound by Nikola Vucevic,"Daniel, get the start again tonight on the finger roll.",1.0
2-pointer by Donovan MitchellAssist by Derrick Favors,Nichols draws a double team.,1.0
Missed Shot by Ish SmithRebound by Andre Drummond,This no good drum and Brown gobbles up the rebound long outlet pass.,1.0
2-pointer by Nickeil Alexander-Walker,"Off the Adams screen, Alexander Walker, with a floater in it's for nothing.",1.0
Missed Shot by Eric GordonRebound by Will Barton,Going to see a lot of pick and roll tonight folks on virtually every play.,0.0
Foul by Alex Len,Hit your opponent in the face but land with the deep post up.,0.0
Missed Shot by Courtney Lee,"Here's Courtney Lee, the veteran the floaters up.",1.0
2-pointer by OG Anunoby,Goes Coast to coast for Toronto.,1.0
2-pointer by Pascal Siakam,Pascal jab step and then between the legs on a pull up.,1.0
2-pointer by Pascal Siakam,Pascal jab step and then between the legs on a pull up.,1.0
Turnover by Steven AdamsSteal by Rodney McGruder,"He can be a threat, especially when teams are looking to double team.",0.0
3-pointer by Lance ThomasAssist by Frank Ntilikina,"Alakina gets into the paint, stops, double team back out.",1.0
Missed Shot by Andre DrummondRebound by Steven Adams,Inside that time the finger roll was nicely contested by Steven Adams.,1.0
Missed Shot by Anthony Davis,Here it goes with the floater.,1.0
Missed Shot by Derrick FavorsRebound by George Hill,Here's favors jab step.,1.0
Dunk by Harrison BarnesFoul by Victor Oladipo,He has the ball on the poster going after this match.,0.0
Missed Shot by Cody ZellerBlock by Karl-Anthony Towns,If you can't get stops and get an early outlet pass.,0.0
Foul by Marcus Smart,Dig down to help Tray on that post up.,0.0
Missed Shot by Harrison BarnesRebound by Blake Griffin,Can't shake Blake Griffin with a pump fake now?,1.0
2-pointer by Patrick Beverley,There's a floater baseline and the bucket is good.,1.0
Missed Shot by Myles TurnerRebound by Dorian Finney-Smith,"And here's the Dallas native Myles Turner, but one of the things Miles worked on was his post up game.",1.0
Foul by Marc Gasol,"An Rubio has been running the show with ease of Lake Hill, Dr Coast to coast and draws a foul.",1.0
Rebound by Jaylen Brown,"Again, to take it off to a quick start yesterday throwing up alley oop that doesn't workout is picked up.",0.0
Missed Shot by Josh Jackson,"Again, to take it off to a quick start yesterday throwing up alley oop that doesn't workout is picked up.",0.0
2-pointer by Stephen CurryAssist by Kevin Durant,"Not easy steps, little floater and bring it home.",1.0
Missed Shot by Tim Hardaway Jr.,"Here comes a double team, this time on Ennis Kanter who could be a piece to deal with inside.",1.0
Foul by Dario Saric,Here's Trey with the floater and he crossed the whistle.,1.0
Foul by Hamidou Diallo,Here is right form and working on the pick and roll game.,1.0
Missed Shot by Derrick WhiteBlock by Kawhi Leonard,The class goes coast to coast.,1.0
2-pointer by Fred VanVleetAssist by Danny Green,Van Fleet forces up a runner and hits nothing but net.,1.0
Missed Shot by Nicolas BatumRebound by Jayson Tatum,Which three guys can score the ball consistently here in Boston but still too strong with the finger roll?,1.0
Missed Shot by JR SmithRebound by Victor Oladipo,Getting that is young off of Kevin Love trying to get him some post up touch.,1.0
